x,y,ID,NAME,CATE,type,lat,lng
496061,1128352,988259852,육아정책연구소 자료실,작은도서관,도서관,37.56159720538651,126.98216694004562
489375,1122231,20992792,복사골작은도서관,작은도서관,도서관,37.539528716270446,126.95191155118673
493977,1129415,21812224,정동어린이도서관,작은도서관,도서관,37.56542643963252,126.9727306379279
490173,1122956,20960467,늘푸른소나무작은도서관,작은도서관,도서관,37.54214303066734,126.95552172340842
488782,1128457,17806917,이화여자대학교 중앙도서관,도서관,도서관,37.56196604726628,126.94921242781612
489435,1124332,26325274,꿈을이루는작은도서관,작은도서관,도서관,37.5471008237072,126.95217827307783
492228,1126656,18665476,손기정작은도서관,작은도서관,도서관,37.55548094537129,126.9648166509502
491586,1122890,25917720,고래이야기,작은도서관,도서관,37.54190740249638,126.96191726426304
491690,1128723,21812020,알음알음작은도서관,작은도서관,도서관,37.56292963669144,126.96237741424312
490298,1123870,2010335630,푸른나무작은도서관,작은도서관,도서관,37.54543729535283,126.95608555733402
494052,1123946,24208664,남영동작은도서관,작은도서관,도서관,37.54571629568367,126.9730772951358
490509,1127766,202667277,북아현북카페,작은도서관,도서관,37.559478797142894,126.95703255225835
492091,1126162,1309016827,서울역센트럴자이아파트작은도서관,작은도서관,도서관,37.55370038767992,126.964197312531
493625,1120474,1086435687,시민과함께하는연구자의집 작은도서관,작은도서관,도서관,37.53320275152869,126.97114936735508
497832,1120866,710174106,이태원글빛작은도서관,작은도서관,도서관,37.53461863747067,126.99018833652072
489963,1123682,21812019,아이도북센터,작은도서관,도서관,37.54475917050128,126.9545696487613
491730,1122986,21812174,효창사랑작은도서관,작은도서관,도서관,37.5422535946954,126.96256885179554
495443,1127161,724972842,회현동작은도서관,작은도서관,도서관,37.55730440004899,126.979370248307
492676,1121288,1536778381,용산e편한세상북카페,작은도서관,도서관,37.5361352824237,126.96685328520248
489294,1120795,1490246356,원효로제2동작은도서관두드림,작은도서관,도서관,37.53435322153269,126.95154829621151
489099,1129003,21812028,새솔도서실,작은도서관,도서관,37.56393443151816,126.95064629241024
492020,1121827,314243952,서울비전문고,작은도서관,도서관,37.53807696837221,126.96388344594418
497883,1120266,2000593320,북카페청마루,작은도서관,도서관,37.53245625405907,126.99041942256352
494077,1124131,26325466,다시서기문고,작은도서관,도서관,37.546383060677634,126.973190214993
496790,1124008,518901015,해다올작은도서관,작은도서관,도서관,37.54594191872109,126.98547038606851
488719,1126285,21812009,염산문고,작은도서관,도서관,37.55413806326656,126.94893254870333
488925,1122787,78883020,도화동문고,작은도서관,도서관,37.54153169239832,126.94987352318044
492350,1124640,21812168,햇빛꿈이있는도서관,작은도서관,도서관,37.5482154605288,126.96537229875506
490623,1122072,1751287376,오렌지나무작은도서관,작은도서관,도서관,37.53895784540617,126.95756028707892
494013,1125424,19689486,일본국제교류기금 서울문화센터 문화정보실,도서관,도서관,37.55104295917797,126.97289883920114
489221,1122642,1646267524,도란도란북스,작은도서관,도서관,37.54100967378957,126.9512135866771
497834,1122887,1901077041,이태원2동회나무작은도서관,작은도서관,도서관,37.541902324334494,126.99019643433724
491171,1125184,1521419896,마실길 북카페,작은도서관,도서관,37.55017434738186,126.96003451324404
497702,1128917,693163387,북소리,작은도서관,도서관,37.563634345955,126.98959596655406
493383,1128938,197585381,덕수궁롯데캐슬아파트작은도서관,작은도서관,도서관,37.56370668721638,126.97004196903166
491569,1123057,2042003965,효창동작은도서관,작은도서관,도서관,37.54250924530327,126.96184001356048
488999,1121690,26325426,도화동문고,작은도서관,도서관,37.537578247257805,126.95021108284692
492213,1126565,1297268464,손기정어린이도서관,도서관,도서관,37.55515296202973,126.96474890140313
494878,1124759,27267924,백합어린이도서관,작은도서관,도서관,37.54864713713935,126.97681514899898
494625,1124307,2067881511,단꿈작은도서관,작은도서관,도서관,37.5470179010234,126.97567046822314
507724,1127687,7948270,성동구립도서관,도서관,도서관,37.55919672232274,127.034967792431
500150,1121424,26647519,현대카드 뮤직 라이브러리,도서관,도서관,37.53663007662188,127.00067886948976
502395,1126925,8588894,가온도서관,도서관,도서관,37.55645516293345,127.01084215378368
504183,1128390,15299086,어울림도서관,도서관,도서관,37.56173398485681,127.01893775732962
505502,1126279,7943166,성동구립금호도서관,도서관,도서관,37.55412485581823,127.02490675248744
502388,1123998,1795972704,성동구립 숲속도서관,도서관,도서관,37.5459062779535,127.0108089413062
503528,1126892,21812230,청구동작은도서관,작은도서관,도서관,37.55633564887407,127.01597121394131
500970,1125585,199619853,다산성곽도서관,도서관,도서관,37.55162623056074,127.0043909021353
501375,1119928,445602906,별밭작은도서관,작은도서관,도서관,37.53123832504107,127.00622252233232
499168,1128060,1033487091,필동작은도서관,작은도서관,도서관,37.56054612784047,126.9962333339653
500043,1120951,553692372,한남동작은도서관,작은도서관,도서관,37.53492538517493,127.00019460482392
503009,1125142,21812063,어린이도서관책읽는엄마책읽는아이,작은도서관,도서관,37.55002895754468,127.01362055932732
499190,1120019,677807326,바라카작은도서관,작은도서관,도서관,37.531566396563626,126.99633435260542
502662,1127694,26380288,다산동작은도서관,작은도서관,도서관,37.55922651332386,127.01205130785
505254,1129578,2096525672,왕십리도서관,작은도서관,도서관,37.56601464186569,127.02378787235664
499135,1120456,21129649,이슬람도서관,도서관,도서관,37.53314133863108,126.9960853683068
499460,1128968,920579263,중구청작은도서관,작은도서관,도서관,37.56381858231632,126.99755518193916
504778,1128860,1502229117,신당5동작은도서관,작은도서관,도서관,37.56342739544929,127.02163199915564
501680,1125488,21812222,어린이도서관느티나무,작은도서관,도서관,37.55127647998235,127.00760482588954
501108,1129149,948931637,광희동작은도서관,작은도서관,도서관,37.5644708223878,127.00501644819954
499801,1127345,17807746,동국대학교 중앙도서관,도서관,도서관,37.55796933288858,126.99909910970162
503392,1123899,1405254469,성동자활지역센터 북카페다온,작은도서관,도서관,37.545548978876205,127.01535333076411
502775,1125648,2066483912,약수작은도서관,작은도서관,도서관,37.551852695563056,127.01256163945506
503191,1128469,802067101,신당누리도서관,도서관,도서관,37.5620193347469,127.01444671628856
502473,1125778,8406233,약수동새마을작은도서관,작은도서관,도서관,37.55232135211964,127.01119464104735
508187,1128797,11371755,성동구립무지개도서관,도서관,도서관,37.56319650773289,127.0370658493962
502991,1128215,21812223,신당동작은도서관 (휴업중),작은도서관,도서관,37.56110402943781,127.01354108424351
504294,1127902,24448835,동화동새마을작은도서관,작은도서관,도서관,37.559975157493696,127.01943983227376
507140,1127608,21812072,무학도서관,작은도서관,도서관,37.5589127607055,127.03232380774902
506897,1129037,2145239093,서울제일비젼도서관,작은도서관,도서관,37.564063153246266,127.03122586124866
503306,1124251,1961965527,꿈샘작은도서관,작은도서관,도서관,37.546817635484,127.01496431949133
503564,1123729,416661283,올리브나무작은도서관,작은도서관,도서관,37.54493619564831,127.01613172845806
504943,1124348,199855594,금호4가동어린이작은도서관,작은도서관,도서관,37.54716605153841,127.02237416069296
504782,1126483,824700256,금호1가동북카페책단지꿀단지,작은도서관,도서관,37.554860712508216,127.02164763027037
502638,1125020,18665052,남산타운문화체육센터 어린이도서관,도서관,도서관,37.54958945205849,127.0119411181616
500301,1127686,2118859625,장충동작은도서관,작은도서관,도서관,37.55919828859572,127.00136267554524
502964,1123369,41261645,옥수동작은도서관,작은도서관,도서관,37.54363909639575,127.0134157168324
504625,1126035,1554928510,금호2.3가동어린이작은도서관,작은도서관,도서관,37.553246252619225,127.02093645550671
506489,1127425,21812073,행당2동어린이작은도서관,작은도서관,도서관,37.55825400093424,127.02937637848886
500430,1128118,25983112,한국학생도서관,도서관,도서관,37.56075520314403,127.00194671985705
506737,1128204,1958452796,왕십리제2동작은도서관,작은도서관,도서관,37.5610612225136,127.03050024455295
507389,1126014,26377923,응봉동어린이작은도서관,작은도서관,도서관,37.55316768728648,127.03344849858485
507710,1127685,9136234,성동구립도서관 열람실,도서관,도서관,37.55918953310152,127.03490440882386
508190,1128916,808929855,성동책마루,도서관,도서관,37.563625377677226,127.0370796441631
499057,1127658,27132063,CJ인재원 자료실,도서관,도서관,37.55909730760553,126.99573089267548
507687,1129011,2112924152,작은책마루,도서관,도서관,37.5639684494893,127.03480250700562
502963,1123344,1616719525,동호독서당,도서관,도서관,37.5435489969665,127.0134111744725
505503,1126280,10474762,성동구립금호도서관 문헌정보실,도서관,도서관,37.55412845885429,127.02491128054102
499907,1125914,27141168,국립극장 공연자료실,도서관,도서관,37.552812025003405,126.99957900992942
505503,1126280,9137157,성동구립금호도서관 어린이열람실,도서관,도서관,37.55412845885429,127.02491128054102
510394,1123850,18293792,성동구립성수도서관,도서관,도서관,37.545364009048726,127.047046616009
511334,1129765,7942088,성동구립용답도서관,도서관,도서관,37.56667983086924,127.05131597552412
514608,1120718,8058301,자양제4동도서관,도서관,도서관,37.53406714802453,127.06611057037784
517498,1120808,1677121464,자양전통시장작은도서관,작은도서관,도서관,37.53438346203485,127.07919000665603
516290,1122894,8170722,건국대학교 상허기념도서관,도서관,도서관,37.54190494163713,127.07373041503648
515758,1124202,21811876,화양동새마을작은도서관,작은도서관,도서관,37.5466204454796,127.07132701459749
